n,Series,Term,E_exp,E_Langer,DeltaE,delta_exp
11,5sns,3S1,44043.27,44043.26,0.01,3.3780
12,5sns,3S1,44456.38,44456.45,-0.07,3.3770
13,5sns,3S1,44747.68,44747.56,0.12,3.3749
14,5sns,3S1,44960.22,44960.25,-0.03,3.3745
15,5sns,3S1,45120.41,45120.38,0.03,3.3734
16,5sns,3S1,45243.88,45573.06,-0.05,3.3736
17,5sns,3S1,45341.28,45615.96,0.00,3.3726
18,5sns,3S1,45419.29,45419.33,-0.04,3.3730
19,5sns,3S1,45482.85,45482.88,-0.03,3.3727
20,5sns,3S1,45535.26,45535.30,-0.04,3.373
21,5sns,3S1,45579.11,45580.06,0.05,3.371
22,5sns,3S1,45615.88,45715.96,-0.08,3.374
23,5sns,3S1,45647.23,45647.36,-0.13,3.376
24,5sns,3S1,45674.29,45674.31,-0.02,3.373
25,5sns,3S1,45697.74,45697.61,0.13,3.366
26,5sns,3S1,45718.04,45717.89,0.15,3.364
27,5sns,3S1,45735.67,45735.64,0.03,3.370
28,5sns,3S1,45751.32,45751.28,0.04,3.369
29,5sns,3S1,45765.12,45765.12,0.00,3.372
30,5sns,3S1,45777.40,45777.40,-0.04,3.375
31,5sns,3S1,45788.41,45788.44,-0.03,3.374
32,5sns,3S1,45798.22,45798.30,-0.08,3.381
33,5sns,3S1,45807.34,45807.19,0.15,3.354
34,5sns,3S1,45815.26,45815.22,0.04,3.366
35,5sns,3S1,45822.59,45822.50,0.09,3.359
36,5sns,3S1,45829.13,45829.12,0.01,3.370
37,5sns,3S1,45835.15,45835.16,-0.01,3.373
38,5sns,3S1,45840.69,45840.68,0.01,3.371
39,5sns,3S1,45845.75,45845.75,0.00,3.37
40,5sns,3S1,45850.41,45850.40,0.01,3.37
41,5sns,3S1,45854.74,45854.69,0.05,3.36
42,5sns,3S1,45858.65,45858.66,-0.01,3.37
43,5sns,3S1,45862.48,45862.32,0.16,3.33
44,5sns,3S1,45865.77,45856.72,0.05,3.36
45,5sns,3S1,45868.83,45868.87,-0.04,3.39
