n,Series,Term,E_obs,E_obs_stat,E_obs_sys,E_calc,Delta_E,delta_obs,delta_calc
10,5sns,1S0,43512.1658,0.001,0,43512.1659,-0.00006,3.26612,3.26612
11,5sns,1S0,44097.1224,0.001,0,44097.1221,0.00032,3.26699,3.26699
12,5sns,1S0,44492.8348,0.001,0,44492.8349,-0.00013,3.26847,3.26846
13,5sns,1S0,44773.6707,0.001,0,44773.6714,-0.00073,3.26754,3.26754
14,5sns,1S0,44979.4540,0.001,0,44979.4546,-0.00062,3.26783,3.26782
15,5sns,1S0,45134.9242,0.001,0,45134.9230,0.00122,3.26800,3.26801
16,5sns,1S0,45255.2295,0.001,0,45255.2296,-0.00009,3.26815,3.26815
17,5sns,1S0,45350.2296,0.001,0,45350.2286,0.00104,3.26825,3.26826
18,5sns,1S0,45426.5505,0.001,0,45426.5499,0.00054,3.26834,3.26834
19,5sns,1S0,45488.7868,0.001,0,45488.7869,-0.00012,3.26842,3.26842
20,5sns,1S0,45540.2024,0.001,0,45540.2031,-0.00077,3.26849,3.26848
21,5sns,1S0,45583.1688,0.001,0,45583.1689,-0.00007,3.26853,3.26853
22,5sns,1S0,45619.4391,0.001,0,45619.4393,-0.00021,3.26857,3.26857
23,5sns,1S0,45650.3365,0.001,0,45650.3365,-0.00004,3.26860,3.26860
24,5sns,1S0,45676.8704,0.001,0,45676.8717,-0.00128,3.26869,3.26863
26,5sns,1S0,45719.8235,0.001,0,45719.8236,-0.00010,3.26869,3.26869
28,5sns,1S0,45752.7832,0.001,0,45752.7832,-0.00003,3.26873,3.26872
30,5sns,1S0,45778.6257,0.001,0,45778.6257,-0.00003,3.26876,3.26876
32,5sns,1S0,45799.2620,0.001,0,45799.2619,0.00011,3.26877,3.26878
34,5sns,1S0,45816.0028,0.001,0,45816.0018,0.00101,3.26867,3.26880
36,5sns,1S0,45829.7700,0.001,0,45829.7679,0.00208,3.26849,3.26882
37,5sns,1S0,45835.7511,0.001,0,45835.7512,-0.00008,3.26884,3.26883
38,5sns,1S0,45841.2259,0.001,0,45841.2251,0.00080,3.26868,3.26883
39,5sns,1S0,45846.2435,0.001,0,45846.2459,-0.00240,3.26934,3.26884
40,5sns,1S0,45850.8600,0.001,0,45850.8622,-0.00224,3.26935,3.26884
41,5sns,1S0,45855.1132,0.001,0,45855.1164,-0.00323,3.26964,3.26885
42,5sns,1S0,45859.0421,0.001,0,45859.0454,-0.00327,3.26972,3.26885
43,5sns,1S0,45862.6792,0.001,0,45862.6814,-0.00221,3.26949,3.26886
44,5sns,1S0,45866.0496,0.001,0,45866.0529,-0.00334,3.26989,3.26886
45,5sns,1S0,45869.1820,0.001,0,45869.1850,-0.00301,3.26986,3.26887
46,5sns,1S0,45872.0971,0.001,0,45872.0998,-0.00268,3.26982,3.26887
47,5sns,1S0,45874.8129,0.001,0,45874.8169,-0.00398,3.27039,3.26887
48,5sns,1S0,45877.3506,0.001,0,45877.3538,-0.00318,3.27018,3.26888
49,5sns,1S0,45879.7212,0.001,0,45879.7261,-0.00493,3.27103,3.26888
50,5sns,1S0,45881.9438,0.001,0,45881.9478,-0.00400,3.27074,3.26888
51,5sns,1S0,45884.0266,0.001,0,45884.0313,-0.00470,3.27121,3.26888
52,5sns,1S0,45885.9825,0.001,0,45885.9878,-0.00535,3.27171,3.26889
53,5sns,1S0,45887.8231,0.001,0,45887.8276,-0.00447,3.27139,3.26889
54,5sns,1S0,45889.5561,0.001,0,45889.5596,-0.00351,3.27098,3.26889
55,5sns,1S0,45891.1875,0.001,0,45891.1921,-0.00460,3.27180,3.26889
56,5sns,1S0,45892.7282,0.001,0,45892.7326,-0.00444,3.27186,3.26890
57,5sns,1S0,45894.1817,0.001,0,45894.1880,-0.00625,3.27332,3.26890
58,5sns,1S0,45895.5596,0.001,0,45895.5643,-0.00466,3.27238,3.26890
59,5sns,1S0,45896.8624,0.001,0,45896.8671,-0.00469,3.27260,3.26890
60,5sns,1S0,45898.0981,0.001,0,45898.1017,-0.00361,3.27191,3.26890
61,5sns,1S0,45899.2707,0.001,0,45899.2727,-0.00198,3.27064,3.26890
62,5sns,1S0,45900.3822,0.001,0,45900.3844,-0.00216,3.27090,3.26890
63,5sns,1S0,45901.4398,0.001,0,45901.4407,-0.00087,3.26975,3.26891
64,5sns,1S0,45902.4433,0.001,0,45902.4453,-0.00196,3.27091,3.26891
65,5sns,1S0,45903.3987,0.001,0,45903.4014,-0.00270,3.27180,3.26891
66,5sns,1S0,45904.3093,0.001,0,45904.3122,-0.00285,3.27211,3.26891
67,5sns,1S0,45905.1769,0.001,0,45905.1804,-0.00357,3.27312,3.26891
68,5sns,1S0,45906.0078,0.001,0,45906.0088,-0.00097,3.27011,3.26891
69,5sns,1S0,45906.7987,0.001,0,45906.7996,-0.00090,3.27007,3.26891
70,5sns,1S0,45907.5560,0.001,0,45907.5551,0.00093,3.26766,3.26891
75,5sns,1S0,45910.8718,0.001,0,45910.8708,0.00098,3.26727,3.26892
80,5sns,1S0,45913.5602,0.001,0,45913.5598,0.00045,3.26800,3.26892
