Series,n,Term,E_exp,delta_exp
5snd,12,3D1,44854.02,1.9114
5snd,13,3D1,45028.55,1.9801
5snd,14,3D1,45159.6,2.0821
5snd,15,3D1,45260.84,2.2151
5snd,16,3D1,45341.36,2.3717
5snd,17,3D1,45414.43,2.4418
5snd,18,3D1,45475.35,2.5014
5snd,19,3D1,45527.1,2.541
5snd,20,3D1,45570.97,2.571
5snd,21,3D1,45608.37,2.592
5snd,22,3D1,45640.43,2.606
5snd,23,3D1,45668.11,2.615
5snd,24,3D1,45692.08,2.622
5snd,25,3D1,45712.94,2.628
5snd,26,3D1,45731.28,2.63
5snd,27,3D1,45747.27,2.64
5snd,28,3D1,45761.6,2.638
5snd,29,3D1,45774.25,2.642
5snd,30,3D1,45785.48,2.651
5snd,31,3D1,45795.62,2.654
5snd,32,3D1,45804.8,2.651
5snd,12,3D2,44860.06,1.883
5snd,13,3D2,45036.95,1.9286
5snd,14,3D2,45171.49,1.9893
5snd,15,3D2,45276.65,2.0618
5snd,16,3D2,45350.35,2.2668
5snd,17,3D2,45420.84,2.3508
5snd,18,3D2,45479.88,2.4241
5snd,19,3D2,45530.18,2.478
5snd,20,3D2,45573.28,2.515
5snd,21,3D2,45610.07,2.543
5snd,22,3D2,45641.68,2.565
5snd,23,3D2,45669.06,2.579
5snd,24,3D2,45692.9,2.586
5snd,25,3D2,45713.5,2.6
5snd,26,3D2,45731.74,2.603
5snd,27,3D2,45747.57,2.62
5snd,28,3D2,45761.84,2.62
5snd,29,3D2,45774.39,2.62
5snd,30,3D2,45785.63,2.637
5snd,31,3D2,45795.69,2.647
5snd,32,3D2,45805.04,2.623
5snd,33,3D2,45813.2,2.632
5snd,34,3D2,45820.4,2.67
5snd,35,3D2,45827.35,2.648
5snd,36,3D2,45883.55,2.647
5snd,37,3D2,45839.34,2.623
5snd,38,3D2,45844.43,2.64
5snd,39,3D2,45849.23,2.63
5snd,40,3D2,45853.58,2.64
5snd,12,3D3,44865.22,1.8586
5snd,13,3D3,45043.79,1.886
5snd,14,3D3,45180.44,1.9181
5snd,15,3D3,45286.53,1.9632
5snd,16,3D3,45370.76,2.0194
5snd,17,3D3,45439.08,2.0824
5snd,18,3D3,45495.02,2.1567
5snd,19,3D3,45542.23,2.225
5snd,20,3D3,45582.38,2.289
5snd,21,3D3,45616.8,2.347
5snd,22,3D3,45647.54,2.366
5snd,23,3D3,45673.1,2.42
5snd,24,3D3,45695.94,2.448
5snd,25,3D3,45715.8,2.481
5snd,26,3D3,45733.69,2.488
5snd,27,3D3,45749.16,2.515
5snd,28,3D3,45763.12,2.524
5snd,29,3D3,45775.6,2.528
5snd,30,3D3,45786.61,2.546
5snd,31,3D3,45796.52,2.561
5snd,32,3D3,45805.72,2.544
5snd,33,3D3,45813.67,2.573
5snd,34,3D3,45821.05,2.579
5snd,35,3D3,45827.87,2.568
5snd,36,3D3,45833.95,2.579
5snd,37,3D3,45839.77,2.543
5snd,38,3D3,45844.77,2.57
5snd,39,3D3,45849.56,2.56
5snd,40,3D3,45853.91,2.56
5snd,41,3D3,45857.89,2.57
5snd,42,3D3,45861.73,2.54
5snd,43,3D3,45865.17,2.54
5snd,44,3D3,45868.25,2.58
5snd,45,3D3,45871.32,2.54
