Series,n,Term,E_Expt,n*_Expt,E_Calc,n*_Calc,New
5snd,7,3D2,41869.32,5.197,41876,5.201,FALSE
5snd,8,3D2,43070.31,6.192,43069.16,6.191,FALSE
5snd,9,3D2,43804.69,7.182,43802.54,7.178,TRUE
5snd,10,3D2,44286.91,8.167,44284.86,8.162,TRUE
5snd,11,3D2,44619.84,9.144,44618.47,9.14,TRUE
5snd,12,3D2,44859.31,10.113,44858.29,10.109,TRUE
5snd,13,3D2,45036.52,11.069,45035.85,11.065,TRUE
5snd,14,3D2,45171.43,12.01,45170.31,12.001,TRUE
5snd,15,3D2,45276.45,12.936,45274.14,12.913,TRUE
5snd,16,3D2,45350.57,13.736,45356.4,13.805,TRUE
5snd,17,3D2,45421.04,14.652,45424.04,14.695,TRUE
5snd,18,3D2,45479.92,15.577,45481.51,15.604,TRUE
5snd,19,3D2,45530.53,16.529,45530.95,16.537,TRUE
5snd,20,3D2,,,45573.51,17.491,
5snd,21,3D2,,,45610.12,18.458,
5snd,22,3D2,45641.69,19.435,45641.67,19.435,TRUE
5snd,23,3D2,45669.09,20.422,45668.96,20.417,TRUE
5snd,24,3D2,45692.84,21.412,45692.67,21.404,TRUE
5snd,25,3D2,45713.48,22.399,45713.37,22.394,TRUE
5snd,26,3D2,45731.76,23.398,45731.54,23.385,TRUE
5snd,27,3D2,45747.71,24.389,45747.55,24.378,TRUE
5snd,28,3D2,,,45761.74,25.373,
5snd,29,3D2,45774.56,26.384,45774.37,26.368,TRUE
5snd,30,3D2,45785.81,27.379,45785.65,27.364,TRUE
5snd,31,3D2,45795.94,28.379,45795.76,28.36,TRUE
5snd,32,3D2,45804.97,29.368,45804.87,29.357,TRUE
5snd,33,3D2,45813.16,30.362,45813.1,30.354,TRUE
5snd,34,3D2,45820.71,31.373,45820.56,31.352,TRUE
5snd,35,3D2,45827.53,32.379,45827.34,32.35,TRUE
5snd,36,3D2,45833.56,33.354,45833.53,33.349,TRUE
5snd,37,3D2,45839.34,34.376,45839.18,34.347,TRUE
5snd,38,3D2,,,45844.36,35.345,
5snd,39,3D2,,,45849.12,36.344,
5snd,40,3D2,,,45853.51,37.344,
