Term,Series,Label,Obs,Obs_unc,Calc,Error,nu_s_Obs,nu_s_Calc
5sns,1S0,5s6s,30591.8,,,,2.675,
,1S0,5p5p,37160.28,,37160.32,-0.04,3.537,3.537
5sns,1S0,5s7s,38444.05,,,,,
5sns,1S0,5s8s,41052.5,,,,,
5sns,1S0,5s9s,42596,,,,,
5sns,1S0,5s10s,43512,0.18,,,,
5sns,1S0,5s11s,44096.84,0.17,,,,
5sns,1S0,5s12s,44492.83,0.18,,,,
5sns,1S0,5s13s,44773.36,0.11,,,,
5sns,1S0,5s14s,44979.25,0.16,,,,
5sns,1S0,5s15s,45134.88,0.11,,,,
5sns,1S0,5s16s,45255.81,0.1,,,,
5sns,1S0,5s17s,45350.35,0.07,,,,
5sns,1S0,5s18s,45426.52,0.07,,,,
5sns,1S0,5s19s,45488.74,0.07,,,,
5sns,1S0,5s20s,45540.1,0.07,,,,
5sns,1S0,5s21s,45583.18,0.12,,,,
