Series,n,Term,lambda_vac,lambda_vac_unc,nu,n*
5snp,22,3P1,2193.8,0.008,45583,17.75
5snp,23,3P1,2192.04,0.008,45619.6,18.74
5snp,24,3P1,2190.53,0.008,45651.1,19.76
5snp,25,3P1,2189.32,0.008,45676.3,20.72
5snp,26,3P1,2188.22,0.008,45699.2,21.71
5snp,27,3P1,2187.28,0.008,45718.9,22.69
5snp,28,3P1,2186.43,0.008,45736.7,23.7
5snp,29,3P1,2185.67,0.008,45752.1,24.7
5snp,30,3P1,2185.04,0.008,45765.8,25.7
5snp,31,3P1,2184.45,0.008,45778.1,26.7
5snp,32,3P1,2183.92,0.008,45789.2,27.72
5snp,33,3P1,2183.45,0.008,45799.1,28.73
