Series,n,Term,Energy,Energy_unc,n*,tau,tau_unc,New
5sns,19,3S1,45482.89,0.01,15.631,1.83,0.2,TRUE
5sns,20,3S1,45535.32,0.01,16.632,2.37,0.33,TRUE
5sns,21,3S1,45579.08,0.01,17.633,2.73,0.49,TRUE
5sns,22,3S1,45615.99,0.01,18.635,3.02,0.54,TRUE
5sns,23,3S1,45647.4,0.01,19.636,3.36,0.71,TRUE
5sns,35,3S1,45822.49,0.04,31.655,7.5,4.4,TRUE
5snd,18,3D3,45495.02,0.15,15.843,0.63,0.03,FALSE
5snd,19,3D3,45542.3,0.04,16.781,0.75,0.03,TRUE
5snd,20,3D3,45582.36,0.04,17.716,0.48,0.03,TRUE
5snd,23,3D3,45673.05,0.04,20.586,0.77,0.03,TRUE
5snd,24,3D3,45695.9,0.04,21.559,0.94,0.05,TRUE
5snd,25,3D3,45715.93,0.04,22.536,1.13,0.08,TRUE
5snd,26,3D3,45733.65,0.04,23.521,1.33,0.1,TRUE
5snd,27,3D3,45749.33,0.04,24.51,1.58,0.14,TRUE
5snd,28,3D3,45763.23,0.04,25.499,1.77,0.19,TRUE
