Series,n,Term,Level_designation,Two-photon_wavelength,E_Present_Expt,E_Baig
5snp,32,1P1,5s32p,436.642,45804.11,45804.102
5snp,33,1P1,5s33p,436.563,45812.4,45812.422
5snp,34,1P1,5s34p,436.491,45819.95,45819.941
5snp,35,1P1,5s35p,436.426,45826.78,45826.781
5snp,36,1P1,5s36p,436.368,45832.87,45832.988
5snp,37,1P1,5s37p,436.316,45838.34,45838.731
5snp,38,1P1,5s38p,436.266,45843.59,45843.922
5snp,39,1P1,5s39p,436.221,45848.32,45848.762
5snp,40,1P1,5s40p,436.178,45852.84,45853.16
5snp,41,1P1,5s41p,436.139,45856.94,45857.219
5snp,42,1P1,5s42p,436.102,45860.83,45861.12
5snp,43,1P1,5s43p,436.07,45864.09,45864.461
5snp,44,1P1,5s44p,436.038,45867.56,45867.711
5snp,45,1P1,5s45p,436.01,45870.51,45870.691
5snp,46,1P1,5s46p,435.983,45873.35,45873.539
